,state,year,CountyNameStateAbbreviation,nonmetro,metro,largemetro,smallmetro,RUCC,edu_bacherate,unemprate,povertyrate,averagefirmsize,age25to44,age45to64,clusterstrength,Name of Area,RUCC_code,RUCC_des,totculest15,totculbirth15,totculdeath15,ctyname,est15,emp15,annpayroll15,Cul birth rate,Cul est rate,inclu_index,Total Population,g1cul_birthrate,g2cul_birthrate,g3cul_birthrate,g4cul_birthrate,Population Density sqmile,perc_white,perc_hisp,perc_minor,perc_female,Female_Employed,foreign_pop,perc_femaleemp,raceedu_gap,race_homeowngap,poverty_white,poverty_minority,race_povertygap,z_perc_minor,z_raceedu_gap,z_race_homeowngap,z_race_povertygap
13159,GA,2015,"Jasper County, GA",0,1,1,0,1,11.812768,5.5,0.17399999,9.875817300000001,0.23051688,0.29197347,0.46376812,"Jasper County, Georgia",1.0,Metro - Counties in metro areas of 1 million population or more,0.0,0.0,0.0,"Jasper County, Georgia",153,1511,41768,0.0,0.0,0.4481885979504819,13593,0.0,0.0,0.0,0.0,36.921009999999995,0.7388361656735084,0.03979989700581182,0.2611638343264916,0.5101890679025969,2591,443,0.19061281541970132,0.5780919275263704,0.09810587210863819,1776.0,1009.0,0.10738576234866129,0.5758238822034174,0.5300188137484729,0.6201707246273571,0.06674097122268008
41067,OR,2015,"Washington County, OR",0,1,1,0,1,41.899132,4.7,0.105,17.208557,0.30364561,0.25278383,0.74848056,"Washington County, Oregon",1.0,Metro - Counties in metro areas of 1 million population or more,952.0,69.0,62.0,"Washington County, Oregon",15075,259419,16817799,0.26597897609658505,3.6697389165789707,0.3391475787932638,556210,0.02312860661709435,0.011564303308547175,0.20044792401481773,0.030838142156125806,767.7353,0.7757321874831449,0.16153251469768612,0.22426781251685513,0.5078423616979199,126470,94006,0.22737814854101868,0.6468861915243023,0.14289493960782307,43178.0,21683.0,0.0737537097535089,0.35407797733232993,0.2968081441834905,0.3406046262215193,0.3650995674357154
51177,VA,2015,"Spotsylvania County, VA",0,1,1,0,1,30.371456,4.6,0.077,12.617954,0.2541759,0.27751631,0.5567714,"Spotsylvania County, Virginia",1.0,Metro - Counties in metro areas of 1 million population or more,126.0,7.0,5.0,"Spotsylvania County, Virginia",2395,30220,1225082,0.2316346790205162,4.169424222369292,0.40680783988320646,127691,0.0,0.09927200529450694,0.09927200529450694,0.03309066843150232,318.0394,0.7425660383268985,0.0831225380018952,0.2574339616731015,0.5086419559718383,29472,8928,0.23080718296512676,0.563849559867781,0.18242428527005505,6020.0,4376.0,0.06963302917384027,0.5534072652888022,0.5783000497821944,0.09386885884866554,0.4016551856131636
22087,LA,2015,"St. Bernard Parish, LA",0,1,1,0,1,13.555163,6.6,0.204,11.321114999999999,0.29756376,0.24527389,0.54860139,"St. Bernard Parish, Louisiana",1.0,Metro - Counties in metro areas of 1 million population or more,24.0,0.0,2.0,"St. Bernard Parish, Louisiana",682,7721,336433,0.0,3.1084056469369252,0.24809463665112408,42858,0.0,0.0,0.0,0.0,113.5285,0.7221288907555182,0.09643473797190723,0.2778711092444818,0.503056605534556,7804,2275,0.18208969153950255,0.5727253939515647,0.24592046598573564,5008.0,3201.0,0.10697371315119714,0.6762349729636724,0.548211215490877,-0.30246400757410336,0.07039636572405025
44003,RI,2015,"Kent County, RI",0,1,1,0,1,32.609238,5.5,0.086999997,14.928022,0.24789301,0.30976549,0.26923254,"Kent County, Rhode Island",1.0,Metro - Counties in metro areas of 1 million population or more,316.0,8.0,17.0,"Kent County, Rhode Island",4682,69893,2997370,0.11446067560413775,4.521196686363441,2.1747798446047906e-05,164958,0.0,0.028615168901034438,0.0715379222525861,0.014307584450517219,978.7492,0.9254476897149577,0.03970101480376823,0.07455231028504228,0.5171498199541702,42013,10155,0.2546890723699366,0.878656205005581,0.18303126564193573,12641.0,1122.0,0.008429421069000104,-0.5457154932729976,-0.48888584958725345,0.09008018576725584,0.9446081482867795
12117,FL,2015,"Seminole County, FL",0,1,1,0,1,37.223618,4.9,0.115,12.585493,0.27673155,0.27685401,0.58673835,"Seminole County, Florida",1.0,Metro - Counties in metro areas of 1 million population or more,1102.0,68.0,55.0,"Seminole County, Florida",13042,164140,6941932,0.4142804922627025,6.713780918727915,0.2614252748209319,437346,0.024369440721335445,0.030461800901669306,0.34117217009869627,0.018277080541001585,1413.1689999999999,0.7960950826119365,0.18757917072523814,0.2039049173880635,0.5162960219139995,101818,52332,0.2328088058425137,0.6609016684004753,0.15186978830270592,35988.0,16649.0,0.08333252478278466,0.23169652847516248,0.24929606168395113,0.2845850756145149,0.28012343351009905
9007,CT,2015,"Middlesex County, CT",0,1,1,0,1,42.976634999999995,5.0,0.067000002,14.492860999999998,0.22117558,0.31873327,0.43816930000000004,"Middlesex County, Connecticut",1.0,Metro - Counties in metro areas of 1 million population or more,328.0,15.0,13.0,"Middlesex County, Connecticut",4202,60899,2922831,0.2463094632095765,5.385966928849406,-0.25270043973289646,165165,0.06568252352255373,0.032841261761276865,0.13136504704510746,0.016420630880638432,447.2339,0.8898798171525444,0.055598946508037414,0.11012018284745562,0.5104652922834741,42484,12331,0.2572215663124754,0.8321893221199644,0.3092635717566588,8310.0,2400.0,0.07541567669927374,-0.33195179467197544,-0.33136439008478646,-0.6978414050072511,0.35035583083242716
42005,PA,2015,"Armstrong County, PA",0,1,1,0,1,16.7141,6.6,0.126,10.873772,0.21916924,0.30890784,0.34602687,"Armstrong County, Pennsylvania",1.0,Metro - Counties in metro areas of 1 million population or more,0.0,0.0,0.0,"Armstrong County, Pennsylvania",1323,14386,500370,0.0,0.0,-0.47910274531256075,67979,0.0,0.0,0.06951202558042541,0.0,104.0703,0.9775371805998911,0.006546139248885685,0.022462819400108858,0.5029935715441534,13778,354,0.20268023948572353,0.9671219901991425,0.20321652725250094,8331.0,407.0,0.14116700372448795,-0.8587744824005745,-0.7887824368841626,-0.035912944897265285,-0.2329411170682407
51630,VA,2015,"Fredericksburg city, VA",0,1,1,0,1,37.356407,5.3,0.15899999,14.222055,0.27864927,0.20896909,0.79227054,"Fredericksburg city, Virginia",1.0,Metro - Counties in metro areas of 1 million population or more,114.0,7.0,4.0,"Fredericksburg city, Virginia",1333,18958,778400,0.36923726131448464,6.0132925414073215,0.7110703249299835,27395,0.0,0.10549636037556705,0.2637409009389176,0.0,2623.776,0.6563971527651031,0.11085964592078847,0.34360284723489687,0.5333820040153313,6823,2250,0.24906004745391494,0.42310531403477925,0.17186683226732433,2375.0,1733.0,0.05203056497955985,1.071284168094703,1.0554191858938846,0.15976676898332376,0.5578111767480225
4013,AZ,2015,"Maricopa County, AZ",0,1,1,0,1,30.888170000000002,5.1,0.163,17.675062,0.27484572,0.24076834,0.27079508,"Maricopa County, Arizona",1.0,Metro - Counties in metro areas of 1 million population or more,5878.0,310.0,318.0,"Maricopa County, Arizona",88900,1571313,75270642,0.1972872368522376,3.740820574895008,0.16468076361473477,4018143,0.01336461927063545,0.026092828099812067,0.14892004330136643,0.008909746180423634,436.7755,0.7958076653817447,0.3008937213035972,0.20419233461825526,0.5057025098409887,843357,595254,0.2098872538881767,0.6816343999700889,0.20904215758711148,484416.0,189111.0,0.07899958505237079,0.23342391236801807,0.17901266986794157,-0.07227558503107477,0.3185620572540542
