fips,state,year,CountyNameStateAbbreviation,nonmetro,metro,largemetro,smallmetro,RUCC,edu_bacherate,unemprate,povertyrate,averagefirmsize,age25to44,age45to64,clusterstrength,Name of Area,RUCC_code,RUCC_des,ctyname,est15,emp15,annpayroll15,inclu_index,Total Population,Population Density sqmile,perc_white,perc_hisp,perc_minor,perc_female,Female_Employed,foreign_pop,perc_femaleemp,raceedu_gap,race_homeowngap,poverty_white,poverty_minority,race_povertygap,z_perc_minor,z_raceedu_gap,z_race_homeowngap,z_race_povertygap
13159,GA,2015,"Jasper County, GA",0,1,1,0,1,11.812768,5.5,0.17399999,9.8758173,0.23051688,0.29197347,0.46376812,"Jasper County, Georgia",1,Metro - Counties in metro areas of 1 million population or more,"Jasper County, Georgia",153,1511,41768,0.448188598,13593,36.92101,0.738836166,0.039799897,0.261163834,0.510189068,2591,443,0.190612815,0.578091928,0.098105872,1776,1009,0.107385762,0.575823882,0.530018814,0.620170725,0.066740971
41067,OR,2015,"Washington County, OR",0,1,1,0,1,41.899132,4.7,0.105,17.208557,0.30364561,0.25278383,0.74848056,"Washington County, Oregon",1,Metro - Counties in metro areas of 1 million population or more,"Washington County, Oregon",15075,259419,16817799,0.339147579,556210,767.7353,0.775732187,0.161532515,0.224267813,0.507842362,126470,94006,0.227378149,0.646886192,0.14289494,43178,21683,0.07375371,0.354077977,0.296808144,0.340604626,0.365099567
51177,VA,2015,"Spotsylvania County, VA",0,1,1,0,1,30.371456,4.6,0.077,12.617954,0.2541759,0.27751631,0.5567714,"Spotsylvania County, Virginia",1,Metro - Counties in metro areas of 1 million population or more,"Spotsylvania County, Virginia",2395,30220,1225082,0.40680784,127691,318.0394,0.742566038,0.083122538,0.257433962,0.508641956,29472,8928,0.230807183,0.56384956,0.182424285,6020,4376,0.069633029,0.553407265,0.57830005,0.093868859,0.401655186
22087,LA,2015,"St. Bernard Parish, LA",0,1,1,0,1,13.555163,6.6,0.204,11.321115,0.29756376,0.24527389,0.54860139,"St. Bernard Parish, Louisiana",1,Metro - Counties in metro areas of 1 million population or more,"St. Bernard Parish, Louisiana",682,7721,336433,0.248094637,42858,113.5285,0.722128891,0.096434738,0.277871109,0.503056606,7804,2275,0.182089692,0.572725394,0.245920466,5008,3201,0.106973713,0.676234973,0.548211215,-0.302464008,0.070396366
44003,RI,2015,"Kent County, RI",0,1,1,0,1,32.609238,5.5,0.086999997,14.928022,0.24789301,0.30976549,0.26923254,"Kent County, Rhode Island",1,Metro - Counties in metro areas of 1 million population or more,"Kent County, Rhode Island",4682,69893,2997370,2.17E-05,164958,978.7492,0.92544769,0.039701015,0.07455231,0.51714982,42013,10155,0.254689072,0.878656205,0.183031266,12641,1122,0.008429421,-0.545715493,-0.48888585,0.090080186,0.944608148
12117,FL,2015,"Seminole County, FL",0,1,1,0,1,37.223618,4.9,0.115,12.585493,0.27673155,0.27685401,0.58673835,"Seminole County, Florida",1,Metro - Counties in metro areas of 1 million population or more,"Seminole County, Florida",13042,164140,6941932,0.261425275,437346,1413.169,0.796095083,0.187579171,0.203904917,0.516296022,101818,52332,0.232808806,0.660901668,0.151869788,35988,16649,0.083332525,0.231696528,0.249296062,0.284585076,0.280123434
9007,CT,2015,"Middlesex County, CT",0,1,1,0,1,42.976635,5,0.067000002,14.492861,0.22117558,0.31873327,0.4381693,"Middlesex County, Connecticut",1,Metro - Counties in metro areas of 1 million population or more,"Middlesex County, Connecticut",4202,60899,2922831,-0.25270044,165165,447.2339,0.889879817,0.055598947,0.110120183,0.510465292,42484,12331,0.257221566,0.832189322,0.309263572,8310,2400,0.075415677,-0.331951795,-0.33136439,-0.697841405,0.350355831
42005,PA,2015,"Armstrong County, PA",0,1,1,0,1,16.7141,6.6,0.126,10.873772,0.21916924,0.30890784,0.34602687,"Armstrong County, Pennsylvania",1,Metro - Counties in metro areas of 1 million population or more,"Armstrong County, Pennsylvania",1323,14386,500370,-0.479102745,67979,104.0703,0.977537181,0.006546139,0.022462819,0.502993572,13778,354,0.202680239,0.96712199,0.203216527,8331,407,0.141167004,-0.858774482,-0.788782437,-0.035912945,-0.232941117
51630,VA,2015,"Fredericksburg city, VA",0,1,1,0,1,37.356407,5.3,0.15899999,14.222055,0.27864927,0.20896909,0.79227054,"Fredericksburg city, Virginia",1,Metro - Counties in metro areas of 1 million population or more,"Fredericksburg city, Virginia",1333,18958,778400,0.711070325,27395,2623.776,0.656397153,0.110859646,0.343602847,0.533382004,6823,2250,0.249060047,0.423105314,0.171866832,2375,1733,0.052030565,1.071284168,1.055419186,0.159766769,0.557811177
4013,AZ,2015,"Maricopa County, AZ",0,1,1,0,1,30.88817,5.1,0.163,17.675062,0.27484572,0.24076834,0.27079508,"Maricopa County, Arizona",1,Metro - Counties in metro areas of 1 million population or more,"Maricopa County, Arizona",88900,1571313,75270642,0.164680764,4018143,436.7755,0.795807665,0.300893721,0.204192335,0.50570251,843357,595254,0.209887254,0.6816344,0.209042158,484416,189111,0.078999585,0.233423912,0.17901267,-0.072275585,0.318562057
